name,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,year_avg,latitude,longitude
ACEH,20.13,17.65,33.42,26.45,26.08,28.09,26.88,-,-,-,-,-,25.52857142857143,4.695135,96.74939930000001
SUMATERA UTARA,37.63,36.58,37.67,36.96,33.91,39.1,29.87,-,-,-,-,-,35.96,2.1153547,99.5450974
SUMATERA BARAT,37.27,36.04,42.02,35.23,32.21,49.72,28.13,-,-,-,-,-,37.23142857142857,-0.7399397,100.80000509999999
RIAU,36.69,38.16,38.69,34.53,31.54,33.4,34.42,-,-,-,-,-,35.347142857142856,0.2933469,101.70682940000002
JAMBI,26.5,38.42,41.57,38.96,33.67,45.13,28.78,-,-,-,-,-,36.14714285714286,-1.4851831,102.43805809999999
SUMATERA SELATAN,45.85,46.11,48.24,44.41,43.55,53.42,41.7,-,-,-,-,-,46.182857142857145,-3.3194373999999995,103.914399
BENGKULU,31.96,37.65,36.73,33.37,33.25,45.54,24.61,-,-,-,-,-,34.730000000000004,-3.5778470999999996,102.3463875
LAMPUNG,37.63,40.52,43.98,40.78,34.29,49.65,24.65,-,-,-,-,-,38.785714285714285,-4.5585849000000005,105.40680790000002
DKI JAKARTA,41.12,41.53,45.11,46.59,45.23,51.9,31.72,-,-,-,-,-,43.314285714285724,-6.211544,106.84517199999999
JAWA BARAT,29.16,37.15,40.37,38.4,35.72,38.19,19.48,-,-,-,-,-,34.067142857142855,-7.090911,107.66888700000001
JAWA TENGAH,24.73,26.64,33.27,32.18,28.11,31.95,15.22,-,-,-,-,-,27.442857142857143,-7.150975,110.1402594
DI YOGYAKARTA,24.91,26.87,40.42,36.78,32.27,45.73,13.32,-,-,-,-,-,31.47142857142857,-7.8753849,110.4262088
JAWA TIMUR,38.63,36.39,40.2,38.88,35.0,44.16,26.25,-,-,-,-,-,37.07285714285714,-7.536063900000001,112.2384017
BANTEN,37.06,39.19,41.3,41.83,34.1,38.64,24.59,-,-,-,-,-,36.67285714285714,-6.4058171999999995,106.0640179
BALI,11.15,8.99,10.24,10.09,10.35,16.68,5.23,-,-,-,-,-,10.39,-8.409517800000001,115.18891599999999
NUSA TENGGARA BARAT,20.17,31.2,36.45,27.04,28.52,39.92,26.25,-,-,-,-,-,29.935714285714287,-8.6529334,117.3616476
NUSA TENGGARA TIMUR,22.51,18.4,27.4,38.67,30.0,41.39,20.35,-,-,-,-,-,28.388571428571428,-8.6573819,121.07937050000001
KALIMANTAN BARAT,25.84,34.93,40.97,41.16,38.29,39.86,29.58,-,-,-,-,-,35.804285714285705,-0.2787808,111.47528510000001
KALIMANTAN TENGAH,32.54,42.05,46.71,39.86,36.23,47.18,27.8,-,-,-,-,-,38.910000000000004,-1.6814878,113.38235449999999
KALIMANTAN SELATAN,43.3,38.01,38.38,34.2,31.78,41.45,34.28,-,-,-,-,-,37.34285714285714,-3.0926415,115.28375849999999
KALIMANTAN TIMUR,42.98,43.82,49.38,47.43,46.77,57.67,39.04,-,-,-,-,-,46.72714285714286,1.6406296000000002,116.419389
SULAWESI UTARA,38.84,38.81,48.86,43.01,38.94,49.13,33.45,-,-,-,-,-,41.57714285714286,0.6246932,123.97500179999999
SULAWESI TENGAH,30.37,31.5,40.88,46.45,22.59,54.88,27.47,-,-,-,-,-,36.30571428571428,-1.4300254,121.4456179
SULAWESI SELATAN,26.43,30.19,36.16,35.55,30.29,41.99,28.68,-,-,-,-,-,32.755714285714284,-3.6687993999999997,119.9740534
SULAWESI TENGGARA,29.35,36.14,39.76,39.93,31.67,47.58,25.38,-,-,-,-,-,35.68714285714286,-4.144909999999999,122.174605
GORONTALO,29.58,44.66,49.67,47.44,32.13,47.68,30.03,-,-,-,-,-,40.17,0.6999371999999999,122.44672379999999
SULAWESI BARAT,17.23,19.94,31.38,24.11,13.47,26.76,17.88,-,-,-,-,-,21.538571428571426,-2.8441370999999998,119.23207839999999
MALUKU,31.56,41.1,41.4,43.35,37.33,43.04,30.37,-,-,-,-,-,38.30714285714286,-3.2384616000000004,130.1452734
MALUKU UTARA,31.0,34.73,38.28,44.98,39.4,43.27,28.92,-,-,-,-,-,37.22571428571428,1.5709993,127.8087693
PAPUA BARAT,39.4,44.58,47.11,45.64,34.61,49.6,28.81,-,-,-,-,-,41.392857142857146,-1.3361154,133.1747162
PAPUA,35.0,32.64,43.28,33.69,38.9,44.93,40.16,-,-,-,-,-,38.371428571428574,-4.269928,138.0803529
