tahun,nama_kabupaten_kota,jumlah_pengunjung
2019,KABUPATEN BANDUNG,2579578
2019,KABUPATEN BANDUNG BARAT,5517072
2019,KABUPATEN BEKASI,2095542
2019,KABUPATEN BOGOR,2696467
2019,KABUPATEN CIAMIS,742384
2019,KABUPATEN CIANJUR,4900805
2019,KABUPATEN CIREBON,455757
2019,KABUPATEN GARUT,2922225
2019,KABUPATEN INDRAMAYU,1501152
2019,KABUPATEN KARAWANG,10080168
2019,KABUPATEN KUNINGAN,428019
2019,KABUPATEN MAJALENGKA,703649
2019,KABUPATEN PANGANDARAN,3227296
2019,KABUPATEN PURWAKARTA,2208466
2019,KABUPATEN SUBANG,1294337
2019,KABUPATEN SUKABUMI,977975
2019,KABUPATEN SUMEDANG,183132
2019,KABUPATEN TASIKMALAYA,1486944
2019,KOTA BANDUNG,10853314
2019,KOTA BANJAR,141556
2019,KOTA BEKASI,977438
2019,KOTA BOGOR,9160884
2019,KOTA CIMAHI,44031
2019,KOTA CIREBON,1825195
2019,KOTA DEPOK,1578
2019,KOTA SUKABUMI,0
2019,KOTA TASIKMALAYA,1251301
2020,KABUPATEN BANDUNG,4113427
2020,KABUPATEN BANDUNG BARAT,1420031
2020,KABUPATEN BEKASI,1826774
2020,KABUPATEN BOGOR,28376
2020,KABUPATEN CIAMIS,651779
2020,KABUPATEN CIANJUR,1496808
2020,KABUPATEN CIREBON,459379
2020,KABUPATEN GARUT,1909892
2020,KABUPATEN INDRAMAYU,230154
2020,KABUPATEN KARAWANG,1737979
2020,KABUPATEN KUNINGAN,1469115
2020,KABUPATEN MAJALENGKA,378016
2020,KABUPATEN PANGANDARAN,3940506
2020,KABUPATEN PURWAKARTA,981052
2020,KABUPATEN SUBANG,395371
2020,KABUPATEN SUKABUMI,1421950
2020,KABUPATEN SUMEDANG,255415
2020,KABUPATEN TASIKMALAYA,661830
2020,KOTA BANDUNG,9730878
2020,KOTA BANJAR,15977
2020,KOTA BEKASI,445472
2020,KOTA BOGOR,3457722
2020,KOTA CIMAHI,65701
2020,KOTA CIREBON,653328
2020,KOTA DEPOK,526605
2020,KOTA SUKABUMI,107557
2020,KOTA TASIKMALAYA,48634
