penghunian kamar,date
41.12,2021-01-01
41.53,2021-02-01
45.11,2021-03-01
46.59,2021-04-01
45.23,2021-05-01
51.9,2021-06-01
31.72,2021-07-01
64.74,2018-01-01
62.43,2018-02-01
61.77,2018-03-01
62.91,2018-04-01
65.61,2018-05-01
52.48,2018-06-01
78.79,2018-07-01
74.12,2018-08-01
68.33,2018-09-01
68.72,2018-10-01
74.29,2018-11-01
68.23,2018-12-01
51.37,2020-01-01
54.28,2020-02-01
36.93,2020-03-01
19.84,2020-04-01
24.32,2020-05-01
26.47,2020-06-01
41.03,2020-07-01
36.18,2020-08-01
38.96,2020-09-01
44.33,2020-10-01
45.63,2020-11-01
45.4,2020-12-01
69.84,2019-01-01
63.37,2019-02-01
59.56,2019-03-01
58.92,2019-04-01
54.32,2019-05-01
50.51,2019-06-01
64.15,2019-07-01
58.11,2019-08-01
58.97,2019-09-01
62.67,2019-10-01
64.17,2019-11-01
61.59,2019-12-01
