Koridor,2019,2020
Koridor I (Blok M-Kota),28703262.0,13114712.0
Koridor II (Pulo Gadung-Harmoni),9569953.0,4788613.0
Koridor III (Kalideres-Pasar Baru),12809507.0,6685591.0
Koridor IV (Pulo Gadung 2-Dukuh Atas),9221017.0,4103583.0
Koridor V (Kp. Melayu-Ancol),12329691.0,5959530.0
Koridor VI (Ragunan-Dukuh Atas 2),12051594.0,5526020.0
Koridor VII (Kp. Rambutan-Kp. Melayu),11558274.0,5330683.0
Koridor VIII (Lebak Bulus-Harmoni),12504656.0,6288549.0
Koridor IX (Pinang Ranti-Pluit),17527958.0,9525362.0
Koridor X (PGC 2-Tanjung Priok),9960874.0,5545169.0
Koridor XI (Kp. Melayu-Pulo Gebang),3875702.0,2040909.0
Koridor XII (Penjaringan-Tanjung Priok),3012110.0,1898532.0
Koridor XIII (Puri Beta-Tendean),8825641.0,4289675.0
Layanan Bus Pengumpan,47682471.0,11590665.0
Layanan Premium (Royaltrans),1166631.0,1445.0
Layanan Pengumpan Bus Keci (Mikrotrans),47366369.0,36752930.0
Layanan Perbatasan (Transjabodetabek),12936584.0,2854246.0
Layanan Bus Wisata,2587362.0,405426.0
Lainnya,343124.0,143637.0
