,index,Domestik,Internasional,Total,Bulan
0,0,1600594,626097,2226691,2020-01-01
1,1,1551967,444267,1996234,2020-02-01
2,2,1211697,187899,1399596,2020-03-01
3,3,191002,17499,208501,2020-04-01
4,4,27500,9460,36960,2020-05-01
5,5,174352,14619,188971,2020-06-01
6,6,427731,22618,450349,2020-07-01
7,7,574597,28513,603110,2020-08-01
8,8,500591,32043,532634,2020-09-01
9,9,601391,36549,637940,2020-10-01
10,10,828893,42028,870921,2020-11-01
11,11,931481,56330,987811,2020-12-01
12,0,507262,48941,556203,2021-01-01
13,1,482132,30819,512951,2021-02-01
14,2,672107,38210,710317,2021-03-01
15,3,703135,41100,744235,2021-04-01
16,4,598615,42513,641128,2021-05-01
17,5,858770,54120,912890,2021-06-01
18,6,249940,45257,295197,2021-07-01
19,7,321287,42345,363632,2021-08-01
