bulan,tahun,jumlah,destinasi_wisata
1,2020,126219.0,Museum
2,2020,122277.0,Museum
3,2020,30605.0,Museum
4,2020,0.0,Museum
5,2020,0.0,Museum
6,2020,2381.0,Museum
7,2020,4868.0,Museum
8,2020,4605.0,Museum
9,2020,2120.0,Museum
10,2020,70915.0,Museum
11,2020,12366.0,Museum
12,2020,9365.0,Museum
1,2020,9654.0,Planetarium
1,2020,35369.0,PBB Setu babakan
1,2020,31041.0,Kepulauan Seribu
1,2020,931.0,Pelabuhan Sunda Kelapa
1,2020,2200.0,Taman Arkeologi Onrust
1,2020,24.325,Monumen Nasional
1,2020,289748.0,Taman Margasatwa Ragunan
1,2020,2048.0,Rumah si Pitung
1,2020,272960.0,Taman Mini Indonesia Indah
1,2020,456902.0,Kawasan Kota Tua
1,2020,620327.0,Taman Impian Jaya Ancol
2,2020,317391.0,Taman Mini Indonesia Indah
2,2020,191179.0,Taman Margasatwa Ragunan
2,2020,146042.0,Monumen Nasional
2,2020,587641.0,Kawasan Kota Tua
2,2020,1811.0,Rumah si Pitung
2,2020,10931.0,Planetarium
2,2020,3236.0,Taman Arkeologi Onrust
2,2020,1895.0,Pelabuhan Sunda Kelapa
2,2020,63568.0,Kepulauan Seribu
2,2020,28848.0,PBB Setu babakan
2,2020,638729.0,Taman Impian Jaya Ancol
3,2020,672.0,Rumah si Pitung
3,2020,11850.0,PBB Setu babakan
3,2020,17948.0,Kepulauan Seribu
3,2020,1304.0,Pelabuhan Sunda Kelapa
3,2020,951.0,Taman Arkeologi Onrust
3,2020,50328.0,Monumen Nasional
3,2020,82706.0,Taman Margasatwa Ragunan
3,2020,89617.0,Taman Mini Indonesia Indah
3,2020,358871.0,Taman Impian Jaya Ancol
3,2020,121516.0,Kawasan Kota Tua
3,2020,1693.0,Planetarium
4,2020,0.0,Rumah si Pitung
4,2020,0.0,Kawasan Kota Tua
4,2020,0.0,PBB Setu babakan
4,2020,46.0,Kepulauan Seribu
4,2020,380.0,Pelabuhan Sunda Kelapa
4,2020,0.0,Taman Arkeologi Onrust
4,2020,0.0,Monumen Nasional
4,2020,0.0,Taman Margasatwa Ragunan
4,2020,0.0,Taman Mini Indonesia Indah
4,2020,0.0,Taman Impian Jaya Ancol
4,2020,0.0,Planetarium
5,2020,0.0,Taman Impian Jaya Ancol
5,2020,0.0,Taman Mini Indonesia Indah
5,2020,0.0,Kawasan Kota Tua
5,2020,0.0,Planetarium
5,2020,0.0,Taman Margasatwa Ragunan
5,2020,0.0,Monumen Nasional
5,2020,0.0,Rumah si Pitung
5,2020,0.0,Taman Arkeologi Onrust
5,2020,0.0,Pelabuhan Sunda Kelapa
5,2020,0.0,Kepulauan Seribu
5,2020,0.0,PBB Setu babakan
6,2020,948.0,Taman Arkeologi Onrust
6,2020,753.0,Pelabuhan Sunda Kelapa
6,2020,0.0,Planetarium
6,2020,6057.0,PBB Setu babakan
6,2020,788.0,Rumah si Pitung
6,2020,8859.0,Kepulauan Seribu
6,2020,28175.0,Taman Impian Jaya Ancol
6,2020,28090.0,Taman Mini Indonesia Indah
6,2020,3837.0,Taman Margasatwa Ragunan
6,2020,2619.0,Kawasan Kota Tua
6,2020,0.0,Monumen Nasional
7,2020,0.0,Planetarium
7,2020,1548.0,PBB Setu babakan
7,2020,20360.0,Kepulauan Seribu
7,2020,927.0,Pelabuhan Sunda Kelapa
7,2020,3711.0,Taman Arkeologi Onrust
7,2020,0.0,Monumen Nasional
7,2020,9365.0,Taman Margasatwa Ragunan
7,2020,82696.0,Taman Mini Indonesia Indah
7,2020,85142.0,Taman Impian Jaya Ancol
7,2020,3925.0,Kawasan Kota Tua
7,2020,1722.0,Rumah si Pitung
8,2020,3386.0,Kawasan Kota Tua
8,2020,2597.0,Rumah si Pitung
8,2020,0.0,Planetarium
8,2020,21997.0,PBB Setu babakan
8,2020,37986.0,Kepulauan Seribu
8,2020,2535.0,Pelabuhan Sunda Kelapa
8,2020,4257.0,Taman Arkeologi Onrust
8,2020,174988.0,Taman Impian Jaya Ancol
8,2020,16570.0,Taman Margasatwa Ragunan
8,2020,0.0,Monumen Nasional
8,2020,134546.0,Taman Mini Indonesia Indah
9,2020,71688.0,Taman Impian Jaya Ancol
9,2020,36977.0,Taman Mini Indonesia Indah
9,2020,6109.0,Taman Margasatwa Ragunan
9,2020,0.0,Monumen Nasional
9,2020,1837.0,Kawasan Kota Tua
9,2020,1018.0,Rumah si Pitung
9,2020,0.0,Planetarium
9,2020,15270.0,Kepulauan Seribu
9,2020,4704.0,PBB Setu babakan
9,2020,2155.0,Pelabuhan Sunda Kelapa
9,2020,2969.0,Taman Arkeologi Onrust
10,2020,1342.0,Rumah si Pitung
10,2020,0.0,Planetarium
10,2020,10372.0,PBB Setu babakan
10,2020,14944.0,Kepulauan Seribu
10,2020,2232.0,Pelabuhan Sunda Kelapa
10,2020,2783.0,Taman Arkeologi Onrust
10,2020,8618.0,Kawasan Kota Tua
10,2020,443034.0,Monumen Nasional
10,2020,600470.0,Taman Margasatwa Ragunan
10,2020,962277.0,Taman Mini Indonesia Indah
10,2020,1978996.0,Taman Impian Jaya Ancol
11,2020,126744.0,Taman Impian Jaya Ancol
11,2020,21741.0,Taman Margasatwa Ragunan
11,2020,107810.0,Taman Mini Indonesia Indah
11,2020,0.0,Monumen Nasional
11,2020,4186.0,Taman Arkeologi Onrust
11,2020,2752.0,Pelabuhan Sunda Kelapa
11,2020,18301.0,Kepulauan Seribu
11,2020,17181.0,PBB Setu babakan
11,2020,0.0,Planetarium
11,2020,2316.0,Rumah si Pitung
11,2020,3354.0,Kawasan Kota Tua
12,2020,1621.0,Taman Arkeologi Onrust
12,2020,2296.0,Pelabuhan Sunda Kelapa
12,2020,22289.0,Kepulauan Seribu
12,2020,1238.0,Rumah si Pitung
12,2020,0.0,Planetarium
12,2020,9883.0,PBB Setu babakan
12,2020,0.0,Monumen Nasional
12,2020,19012.0,Taman Margasatwa Ragunan
12,2020,105008.0,Taman Mini Indonesia Indah
12,2020,479272.0,Taman Impian Jaya Ancol
12,2020,0.0,Kawasan Kota Tua
